source_file,ProviderName,ServiceName,CostDomain,DeploymentModel,ModelChannel,ModelProvider,ModelTier,ModelName,WorkloadLifecycle,PricingUnit,PricingModel,CommitmentDiscountType,CommitmentEligible,CapexVsOpex,FixedVsVariable,ChargeCategory,Environment,BusinessUnit,GovernanceStatus,WasteFlag,Quantity,BilledCost
aws_focus.csv,AWS,Amazon Bedrock,inference,hyperscaler-platform,hyperscaler-marketplace,Anthropic,mid,,real-time-inference,tokens,on-demand,none,FALSE,opex,variable,Usage,prod,product,governed,none,62000000,186.00
aws_focus.csv,AWS,Amazon SageMaker,inference,hyperscaler-platform,n/a,,,,real-time-inference,Hrs,on-demand,none,FALSE,opex,variable,Usage,prod,product,governed,none,720,4082.40
aws_focus.csv,AWS,Amazon Elastic Compute Cloud,compute-infra,self-hosted-cloud-GPU,n/a,,,,real-time-inference,Hrs,committed-savings-plan,reserved-instance,TRUE,opex,fixed,Usage,prod,platform,governed,none,720,11750.40
aws_focus.csv,AWS,Amazon Simple Storage Service,storage,hyperscaler-platform,n/a,,,,data-prep,GB-Mo,on-demand,none,FALSE,opex,variable,Usage,prod,platform,governed,none,8200,188.60
aws_focus.csv,AWS,Amazon Elastic Compute Cloud,networking,hyperscaler-platform,n/a,,,,serving-idle,GB,on-demand,none,FALSE,opex,variable,Usage,prod,product,governed,none,1500,135.00
frontier_openai.csv,OpenAI,OpenAI chat.completions,inference,managed-API,direct-lab-API,OpenAI,mid,gpt-5.4,real-time-inference,per-token,on-demand,none,FALSE,opex,variable,Usage,prod,prod-copilot,governed,none,18000000,112.50
frontier_openai.csv,OpenAI,OpenAI chat.completions,inference,managed-API,direct-lab-API,OpenAI,mid,gpt-5.4-mini,batch-inference,per-token,batch,none,FALSE,opex,variable,Usage,non-prod,batch-tagging,governed,none,40000000,35.00
frontier_openai.csv,OpenAI,OpenAI embeddings,inference,managed-API,direct-lab-API,OpenAI,embedding,text-embedding-3-large,data-prep,per-token,on-demand,none,FALSE,opex,variable,Usage,prod,prod-copilot,governed,none,120000000,15.60
frontier_anthropic.csv,Anthropic,Claude API,inference,managed-API,direct-lab-API,Anthropic,frontier,claude-opus-4-8,real-time-inference,per-token,on-demand,none,FALSE,opex,variable,Usage,prod,prod-agent,governed,none,3400000,52.30
frontier_anthropic.csv,Anthropic,Claude API,inference,managed-API,direct-lab-API,Anthropic,small-efficient,claude-haiku-4-5,real-time-inference,per-token,on-demand,none,FALSE,opex,variable,Usage,prod,prod-agent,governed,none,6000000,13.70
frontier_anthropic.csv,Anthropic,Claude Managed Agents,orchestration-agents,managed-API,direct-lab-API,Anthropic,,,real-time-inference,per-instance-hour,on-demand,none,FALSE,opex,variable,Usage,prod,prod-agent,governed,none,420,33.60
colo_invoice.csv,Colo (Equinix-class),Cabinet space - full cabinet,facilities-hardware,colocation,n/a,,,,serving-idle,cabinet-month,committed-savings-plan,enterprise-agreement,TRUE,opex,fixed,Usage,prod,platform,governed,none,4,5800.00
colo_invoice.csv,Colo (Equinix-class),Power - committed capacity,facilities-hardware,colocation,n/a,,,,serving-idle,kW-month,committed-savings-plan,enterprise-agreement,TRUE,opex,fixed,Usage,prod,platform,governed,none,20,4500.00
colo_invoice.csv,Colo (Equinix-class),Power - metered usage overage,facilities-hardware,colocation,n/a,,,,serving-idle,kWh,on-demand,none,FALSE,opex,variable,Usage,prod,platform,governed,none,3100,341.00
colo_invoice.csv,Colo (Equinix-class),Cross-connect - fiber,networking,colocation,n/a,,,,serving-idle,xconn-month,committed-savings-plan,enterprise-agreement,TRUE,opex,fixed,Usage,prod,platform,governed,none,6,1800.00
colo_invoice.csv,Colo (Equinix-class),Remote hands,professional-services,colocation,n/a,,,,serving-idle,hour,on-demand,none,FALSE,opex,variable,Usage,prod,platform,governed,none,8,1800.00
colo_invoice.csv,Colo (Equinix-class),IP transit - 95th percentile,networking,colocation,n/a,,,,serving-idle,Mbps,committed-savings-plan,enterprise-agreement,TRUE,opex,fixed,Usage,prod,platform,governed,none,500,275.00
colo_depreciation.csv,Owned hardware (colo),GPU-NODE-01 (8x H100) depreciation,compute-infra,colocation,self-hosted-weights,,,,real-time-inference,flat,subscription,none,FALSE,capex,fixed,Purchase,prod,platform,governed,none,36,8666.67
colo_depreciation.csv,Owned hardware (colo),GPU-NODE-02 (8x H100) depreciation,compute-infra,colocation,self-hosted-weights,,,,real-time-inference,flat,subscription,none,FALSE,capex,fixed,Purchase,prod,platform,governed,none,36,8666.67
colo_depreciation.csv,Owned hardware (colo),SPINE-SW-01 (400G) depreciation,networking,colocation,n/a,,,,serving-idle,flat,subscription,none,FALSE,capex,fixed,Purchase,prod,platform,governed,none,60,800.00
colo_depreciation.csv,Owned hardware (colo),NVMe-ARRAY-01 depreciation,storage,colocation,n/a,,,,serving-idle,flat,subscription,none,FALSE,capex,fixed,Purchase,prod,platform,governed,none,48,2000.00
